year,region,technology,value,unit,source
2007,Saskatchewan,Hydraulic turbine,0.85466,Gwa,
2008,Saskatchewan,Hydraulic turbine,0.85466,Gwa,
2009,Saskatchewan,Hydraulic turbine,0.85596,Gwa,
2010,Saskatchewan,Hydraulic turbine,0.85596,Gwa,
2011,Saskatchewan,Hydraulic turbine,0.85596,Gwa,
2012,Saskatchewan,Hydraulic turbine,,Gwa,
2013,Saskatchewan,Hydraulic turbine,0.86596,Gwa,
2014,Saskatchewan,Hydraulic turbine,0.86836,Gwa,
2015,Saskatchewan,Hydraulic turbine,0.86746,Gwa,
2016,Saskatchewan,Hydraulic turbine,0.8674,Gwa,
2017,Saskatchewan,Hydraulic turbine,0.8674,Gwa,
2006,Saskatchewan,Wind power turbine,0.17118,Gwa,
2007,Saskatchewan,Wind power turbine,0.17118,Gwa,
2008,Saskatchewan,Wind power turbine,0.17118,Gwa,
2009,Saskatchewan,Wind power turbine,0.17118,Gwa,
2010,Saskatchewan,Wind power turbine,0.17118,Gwa,
2011,Saskatchewan,Wind power turbine,0.15996,Gwa,
2012,Saskatchewan,Wind power turbine,,Gwa,
2013,Saskatchewan,Wind power turbine,0.17118,Gwa,
2014,Saskatchewan,Wind power turbine,0.19758,Gwa,
2015,Saskatchewan,Wind power turbine,0.19758,Gwa,
2016,Saskatchewan,Wind power turbine,0.19758,Gwa,
2017,Saskatchewan,Wind power turbine,0.22058,Gwa,
2006,Saskatchewan,Total thermal,2.85295,Gwa,
2007,Saskatchewan,Total thermal,2.85295,Gwa,
2008,Saskatchewan,Total thermal,2.813935,Gwa,
2009,Saskatchewan,Total thermal,3.014935,Gwa,
2010,Saskatchewan,Total thermal,3.158837,Gwa,
2011,Saskatchewan,Total thermal,3.177437,Gwa,
2012,Saskatchewan,Total thermal,,Gwa,
2013,Saskatchewan,Total thermal,3.088837,Gwa,
2014,Saskatchewan,Total thermal,3.067281,Gwa,
2015,Saskatchewan,Total thermal,3.212975,Gwa,
2016,Saskatchewan,Total thermal,3.554342,Gwa,
2017,Saskatchewan,Total thermal,3.554342,Gwa,
2006,Saskatchewan,Conventional steam turbine,2.21295,Gwa,
2007,Saskatchewan,Conventional steam turbine,2.21295,Gwa,
2008,Saskatchewan,Conventional steam turbine,2.16945,Gwa,
2009,Saskatchewan,Conventional steam turbine,2.16945,Gwa,
2010,Saskatchewan,Conventional steam turbine,2.17345,Gwa,
2011,Saskatchewan,Conventional steam turbine,2.17345,Gwa,
2012,Saskatchewan,Conventional steam turbine,,Gwa,
2013,Saskatchewan,Conventional steam turbine,2.10345,Gwa,
2014,Saskatchewan,Conventional steam turbine,2.10095,Gwa,
2015,Saskatchewan,Conventional steam turbine,2.13595,Gwa,
2016,Saskatchewan,Conventional steam turbine,2.13595,Gwa,
2017,Saskatchewan,Conventional steam turbine,2.13595,Gwa,
2006,Saskatchewan,Combustion turbine,0.64,Gwa,
2007,Saskatchewan,Combustion turbine,0.64,Gwa,
2008,Saskatchewan,Combustion turbine,0.64,Gwa,
2009,Saskatchewan,Combustion turbine,0.841,Gwa,
2010,Saskatchewan,Combustion turbine,0.9805,Gwa,
2011,Saskatchewan,Combustion turbine,0.9991,Gwa,
2012,Saskatchewan,Combustion turbine,,Gwa,
2013,Saskatchewan,Combustion turbine,0.9805,Gwa,
2014,Saskatchewan,Combustion turbine,0.9505,Gwa,
2015,Saskatchewan,Combustion turbine,1.0585,Gwa,
2016,Saskatchewan,Combustion turbine,1.4039,Gwa,
2017,Saskatchewan,Combustion turbine,1.4039,Gwa,
2007,Saskatchewan,Internal combustion turbine,0,Gwa,
2008,Saskatchewan,Internal combustion turbine,0.004485,Gwa,
2009,Saskatchewan,Internal combustion turbine,0.004485,Gwa,
2010,Saskatchewan,Internal combustion turbine,0.004887,Gwa,
2011,Saskatchewan,Internal combustion turbine,0.004887,Gwa,
2012,Saskatchewan,Internal combustion turbine,,Gwa,
2013,Saskatchewan,Internal combustion turbine,0.004887,Gwa,
2014,Saskatchewan,Internal combustion turbine,0.015831,Gwa,
2015,Saskatchewan,Internal combustion turbine,0.018525,Gwa,
2016,Saskatchewan,Internal combustion turbine,0.014492,Gwa,
2017,Saskatchewan,Internal combustion turbine,0.014492,Gwa,
2006,Alberta,Hydraulic turbine,0.885228,Gwa,
2007,Alberta,Hydraulic turbine,0.869328,Gwa,
2008,Alberta,Hydraulic turbine,0.882878,Gwa,
2009,Alberta,Hydraulic turbine,0.88291,Gwa,
2010,Alberta,Hydraulic turbine,0.88291,Gwa,
2011,Alberta,Hydraulic turbine,0.943541,Gwa,
2012,Alberta,Hydraulic turbine,,Gwa,
2013,Alberta,Hydraulic turbine,0.896952,Gwa,
2014,Alberta,Hydraulic turbine,1.135452,Gwa,
2015,Alberta,Hydraulic turbine,1.219452,Gwa,
2016,Alberta,Hydraulic turbine,1.219252,Gwa,
2017,Alberta,Hydraulic turbine,1.21782,Gwa,
2006,Alberta,Wind power turbine,0.39646,Gwa,
2007,Alberta,Wind power turbine,0.51886,Gwa,
2008,Alberta,Wind power turbine,0.52392,Gwa,
2009,Alberta,Wind power turbine,0.58917,Gwa,
2010,Alberta,Wind power turbine,0.80577,Gwa,
2011,Alberta,Wind power turbine,0.74202,Gwa,
2012,Alberta,Wind power turbine,,Gwa,
2013,Alberta,Wind power turbine,1.038745,Gwa,
2014,Alberta,Wind power turbine,1.160645,Gwa,
2015,Alberta,Wind power turbine,1.462715,Gwa,
2016,Alberta,Wind power turbine,1.499815,Gwa,
2017,Alberta,Wind power turbine,1.524449,Gwa,
2010,Alberta,Solar power,,Gwa,
2011,Alberta,Solar power,,Gwa,
2012,Alberta,Solar power,,Gwa,
2013,Alberta,Solar power,,Gwa,
2014,Alberta,Solar power,0.001,Gwa,
2015,Alberta,Solar power,0.00175,Gwa,
2016,Alberta,Solar power,0.00175,Gwa,
2017,Alberta,Solar power,0.00195,Gwa,
2006,Alberta,Total thermal,9.881481,Gwa,
2007,Alberta,Total thermal,10.428856,Gwa,
2008,Alberta,Total thermal,10.443186,Gwa,
2009,Alberta,Total thermal,11.363473,Gwa,
2010,Alberta,Total thermal,11.701603,Gwa,
2011,Alberta,Total thermal,11.387526,Gwa,
2012,Alberta,Total thermal,,Gwa,
2013,Alberta,Total thermal,10.88533,Gwa,
2014,Alberta,Total thermal,11.611861,Gwa,
2015,Alberta,Total thermal,12.326061,Gwa,
2016,Alberta,Total thermal,12.594287,Gwa,
2017,Alberta,Total thermal,12.65125,Gwa,
2006,Alberta,Conventional steam turbine,6.38879,Gwa,
2007,Alberta,Conventional steam turbine,7.60889,Gwa,
2008,Alberta,Conventional steam turbine,7.69679,Gwa,
2009,Alberta,Conventional steam turbine,7.752665,Gwa,
2010,Alberta,Conventional steam turbine,7.799585,Gwa,
2011,Alberta,Conventional steam turbine,7.557625,Gwa,
2012,Alberta,Conventional steam turbine,,Gwa,
2013,Alberta,Conventional steam turbine,7.4227,Gwa,
2014,Alberta,Conventional steam turbine,7.97028,Gwa,
2015,Alberta,Conventional steam turbine,8.17028,Gwa,
2016,Alberta,Conventional steam turbine,8.28708,Gwa,
2017,Alberta,Conventional steam turbine,8.28468,Gwa,
2006,Alberta,Combustion turbine,3.384035,Gwa,
2007,Alberta,Combustion turbine,2.54668,Gwa,
2008,Alberta,Combustion turbine,2.47168,Gwa,
2009,Alberta,Combustion turbine,3.32488,Gwa,
2010,Alberta,Combustion turbine,3.62098,Gwa,
2011,Alberta,Combustion turbine,3.54312,Gwa,
2012,Alberta,Combustion turbine,,Gwa,
2013,Alberta,Combustion turbine,3.073405,Gwa,
2014,Alberta,Combustion turbine,3.42343,Gwa,
2015,Alberta,Combustion turbine,3.863175,Gwa,
2016,Alberta,Combustion turbine,3.9444,Gwa,
2017,Alberta,Combustion turbine,3.975517,Gwa,
2006,Alberta,Internal combustion turbine,0.108656,Gwa,
2007,Alberta,Internal combustion turbine,0.273286,Gwa,
2008,Alberta,Internal combustion turbine,0.274716,Gwa,
2009,Alberta,Internal combustion turbine,0.285928,Gwa,
2010,Alberta,Internal combustion turbine,0.281038,Gwa,
2011,Alberta,Internal combustion turbine,0.286781,Gwa,
2012,Alberta,Internal combustion turbine,,Gwa,
2013,Alberta,Internal combustion turbine,0.389225,Gwa,
2014,Alberta,Internal combustion turbine,0.218151,Gwa,
2015,Alberta,Internal combustion turbine,0.292606,Gwa,
2016,Alberta,Internal combustion turbine,0.362807,Gwa,
2017,Alberta,Internal combustion turbine,0.391053,Gwa,
2006,British Columbia,Hydraulic turbine,12.613697,Gwa,
2007,British Columbia,Hydraulic turbine,12.660898,Gwa,
2008,British Columbia,Hydraulic turbine,12.733048,Gwa,
2009,British Columbia,Hydraulic turbine,12.858248,Gwa,
2010,British Columbia,Hydraulic turbine,13.201771,Gwa,
2011,British Columbia,Hydraulic turbine,13.672762,Gwa,
2012,British Columbia,Hydraulic turbine,,Gwa,
2013,British Columbia,Hydraulic turbine,14.227206,Gwa,
2014,British Columbia,Hydraulic turbine,14.025106,Gwa,
2015,British Columbia,Hydraulic turbine,14.440696,Gwa,
2016,British Columbia,Hydraulic turbine,15.229614,Gwa,
2017,British Columbia,Hydraulic turbine,15.406804,Gwa,
2007,British Columbia,Wind power turbine,0,Gwa,
2008,British Columbia,Wind power turbine,,Gwa,
2009,British Columbia,Wind power turbine,0.1044,Gwa,
2010,British Columbia,Wind power turbine,0.1059,Gwa,
2011,British Columbia,Wind power turbine,0.1549,Gwa,
2012,British Columbia,Wind power turbine,,Gwa,
2013,British Columbia,Wind power turbine,0.3897,Gwa,
2014,British Columbia,Wind power turbine,0.4887,Gwa,
2015,British Columbia,Wind power turbine,0.4887,Gwa,
2016,British Columbia,Wind power turbine,0.5022,Gwa,
2017,British Columbia,Wind power turbine,0.7139,Gwa,
2006,British Columbia,Total thermal,2.253704,Gwa,
2007,British Columbia,Total thermal,2.222511,Gwa,
2008,British Columbia,Total thermal,2.182414,Gwa,
2009,British Columbia,Total thermal,2.275305,Gwa,
2010,British Columbia,Total thermal,2.281155,Gwa,
2011,British Columbia,Total thermal,1.295335,Gwa,
2012,British Columbia,Total thermal,,Gwa,
2013,British Columbia,Total thermal,1.584105,Gwa,
2014,British Columbia,Total thermal,1.527932,Gwa,
2015,British Columbia,Total thermal,1.564017,Gwa,
2016,British Columbia,Total thermal,1.533412,Gwa,
2017,British Columbia,Total thermal,1.544628,Gwa,
2006,British Columbia,Conventional steam turbine,1.78265,Gwa,
2007,British Columbia,Conventional steam turbine,0.81875,Gwa,
2008,British Columbia,Conventional steam turbine,0.78025,Gwa,
2009,British Columbia,Conventional steam turbine,0.89125,Gwa,
2010,British Columbia,Conventional steam turbine,0.89725,Gwa,
2011,British Columbia,Conventional steam turbine,0.91546,Gwa,
2012,British Columbia,Conventional steam turbine,,Gwa,
2013,British Columbia,Conventional steam turbine,1.10131,Gwa,
2014,British Columbia,Conventional steam turbine,1.02485,Gwa,
2015,British Columbia,Conventional steam turbine,1.03165,Gwa,
2016,British Columbia,Conventional steam turbine,1.01095,Gwa,
2017,British Columbia,Conventional steam turbine,1.01095,Gwa,
2006,British Columbia,Combustion turbine,0.386,Gwa,
2007,British Columbia,Combustion turbine,1.34338,Gwa,
2008,British Columbia,Combustion turbine,1.34338,Gwa,
2009,British Columbia,Combustion turbine,1.34338,Gwa,
2010,British Columbia,Combustion turbine,1.34338,Gwa,
2011,British Columbia,Combustion turbine,0.34738,Gwa,
2012,British Columbia,Combustion turbine,,Gwa,
2013,British Columbia,Combustion turbine,0.439,Gwa,
2014,British Columbia,Combustion turbine,0.437,Gwa,
2015,British Columbia,Combustion turbine,0.457,Gwa,
2016,British Columbia,Combustion turbine,0.46836,Gwa,
2017,British Columbia,Combustion turbine,0.480426,Gwa,
2006,British Columbia,Internal combustion turbine,0.085054,Gwa,
2007,British Columbia,Internal combustion turbine,0.060381,Gwa,
2008,British Columbia,Internal combustion turbine,0.058784,Gwa,
2009,British Columbia,Internal combustion turbine,0.040675,Gwa,
2010,British Columbia,Internal combustion turbine,0.040525,Gwa,
2011,British Columbia,Internal combustion turbine,0.032495,Gwa,
2012,British Columbia,Internal combustion turbine,,Gwa,
2013,British Columbia,Internal combustion turbine,0.043795,Gwa,
2014,British Columbia,Internal combustion turbine,0.066082,Gwa,
2015,British Columbia,Internal combustion turbine,0.075367,Gwa,
2016,British Columbia,Internal combustion turbine,0.054102,Gwa,
2017,British Columbia,Internal combustion turbine,0.053252,Gwa,
2006,Yukon,Hydraulic turbine,0.0767,Gwa,
2007,Yukon,Hydraulic turbine,0.0779,Gwa,
2008,Yukon,Hydraulic turbine,0.0779,Gwa,
2009,Yukon,Hydraulic turbine,0.0779,Gwa,
2010,Yukon,Hydraulic turbine,0.0779,Gwa,
2011,Yukon,Hydraulic turbine,0.0945,Gwa,
2012,Yukon,Hydraulic turbine,,Gwa,
2013,Yukon,Hydraulic turbine,0.0945,Gwa,
2014,Yukon,Hydraulic turbine,0.0945,Gwa,
2015,Yukon,Hydraulic turbine,0.095315,Gwa,
2016,Yukon,Hydraulic turbine,0.095315,Gwa,
2017,Yukon,Hydraulic turbine,0.095315,Gwa,
2006,Yukon,Wind power turbine,0.00081,Gwa,
2007,Yukon,Wind power turbine,0.00081,Gwa,
2008,Yukon,Wind power turbine,0.00081,Gwa,
2009,Yukon,Wind power turbine,0.00081,Gwa,
2010,Yukon,Wind power turbine,0.00081,Gwa,
2011,Yukon,Wind power turbine,0.00081,Gwa,
2012,Yukon,Wind power turbine,,Gwa,
2013,Yukon,Wind power turbine,0.00081,Gwa,
2014,Yukon,Wind power turbine,0.00081,Gwa,
2015,Yukon,Wind power turbine,0.00066,Gwa,
2016,Yukon,Wind power turbine,0.00066,Gwa,
2017,Yukon,Wind power turbine,0.00066,Gwa,
2006,Yukon,Total thermal,0.03045,Gwa,
2007,Yukon,Total thermal,0.03225,Gwa,
2008,Yukon,Total thermal,0.03225,Gwa,
2009,Yukon,Total thermal,0.0313,Gwa,
2010,Yukon,Total thermal,0.03348,Gwa,
2011,Yukon,Total thermal,0.03346,Gwa,
2012,Yukon,Total thermal,,Gwa,
2013,Yukon,Total thermal,0.03346,Gwa,
2014,Yukon,Total thermal,0.03384,Gwa,
2015,Yukon,Total thermal,0.03436,Gwa,
2016,Yukon,Total thermal,0.035065,Gwa,
2017,Yukon,Total thermal,0.035065,Gwa,
2006,Yukon,Internal combustion turbine,0.03045,Gwa,
2007,Yukon,Internal combustion turbine,0.03225,Gwa,
2008,Yukon,Internal combustion turbine,0.03225,Gwa,
2009,Yukon,Internal combustion turbine,0.0313,Gwa,
2010,Yukon,Internal combustion turbine,0.03348,Gwa,
2011,Yukon,Internal combustion turbine,0.03346,Gwa,
2012,Yukon,Internal combustion turbine,,Gwa,
2013,Yukon,Internal combustion turbine,0.03346,Gwa,
2014,Yukon,Internal combustion turbine,0.03384,Gwa,
2015,Yukon,Internal combustion turbine,0.03436,Gwa,
2016,Yukon,Internal combustion turbine,0.035065,Gwa,
2017,Yukon,Internal combustion turbine,0.035065,Gwa,
2006,Northwest Territories,Hydraulic turbine,0.0417,Gwa,
2007,Northwest Territories,Hydraulic turbine,0.043,Gwa,
2008,Northwest Territories,Hydraulic turbine,0.0557,Gwa,
2009,Northwest Territories,Hydraulic turbine,0.0557,Gwa,
2010,Northwest Territories,Hydraulic turbine,0.0557,Gwa,
2011,Northwest Territories,Hydraulic turbine,0.0557,Gwa,
2012,Northwest Territories,Hydraulic turbine,,Gwa,
2013,Northwest Territories,Hydraulic turbine,0.0557,Gwa,
2014,Northwest Territories,Hydraulic turbine,0.0557,Gwa,
2015,Northwest Territories,Hydraulic turbine,0.0557,Gwa,
2016,Northwest Territories,Hydraulic turbine,0.0557,Gwa,
2017,Northwest Territories,Hydraulic turbine,0.0557,Gwa,
2010,Northwest Territories,Wind power turbine,,Gwa,
2011,Northwest Territories,Wind power turbine,,Gwa,
2012,Northwest Territories,Wind power turbine,,Gwa,
2013,Northwest Territories,Wind power turbine,,Gwa,
2014,Northwest Territories,Wind power turbine,0.0092,Gwa,
2015,Northwest Territories,Wind power turbine,0.0092,Gwa,
2016,Northwest Territories,Wind power turbine,0.0092,Gwa,
2017,Northwest Territories,Wind power turbine,0.0092,Gwa,
2006,Northwest Territories,Total thermal,0.109623,Gwa,
2007,Northwest Territories,Total thermal,0.11488,Gwa,
2008,Northwest Territories,Total thermal,0.111598,Gwa,
2009,Northwest Territories,Total thermal,0.126998,Gwa,
2010,Northwest Territories,Total thermal,0.126998,Gwa,
2011,Northwest Territories,Total thermal,0.12694,Gwa,
2012,Northwest Territories,Total thermal,,Gwa,
2013,Northwest Territories,Total thermal,0.13076,Gwa,
2014,Northwest Territories,Total thermal,0.137968,Gwa,
2015,Northwest Territories,Total thermal,0.138246,Gwa,
2016,Northwest Territories,Total thermal,0.138246,Gwa,
2017,Northwest Territories,Total thermal,0.138246,Gwa,
2006,Northwest Territories,Combustion turbine,0.0272,Gwa,
2007,Northwest Territories,Combustion turbine,0.0272,Gwa,
2008,Northwest Territories,Combustion turbine,0.0195,Gwa,
2009,Northwest Territories,Combustion turbine,0.0195,Gwa,
2010,Northwest Territories,Combustion turbine,0.0195,Gwa,
2011,Northwest Territories,Combustion turbine,0.0195,Gwa,
2012,Northwest Territories,Combustion turbine,,Gwa,
2013,Northwest Territories,Combustion turbine,0.0195,Gwa,
2014,Northwest Territories,Combustion turbine,0.0195,Gwa,
2015,Northwest Territories,Combustion turbine,0.0195,Gwa,
2016,Northwest Territories,Combustion turbine,0.0195,Gwa,
2017,Northwest Territories,Combustion turbine,0.0195,Gwa,
2006,Northwest Territories,Internal combustion turbine,0.082423,Gwa,
2007,Northwest Territories,Internal combustion turbine,0.08768,Gwa,
2008,Northwest Territories,Internal combustion turbine,0.092098,Gwa,
2009,Northwest Territories,Internal combustion turbine,0.107498,Gwa,
2010,Northwest Territories,Internal combustion turbine,0.107498,Gwa,
2011,Northwest Territories,Internal combustion turbine,0.10744,Gwa,
2012,Northwest Territories,Internal combustion turbine,,Gwa,
2013,Northwest Territories,Internal combustion turbine,0.11126,Gwa,
2014,Northwest Territories,Internal combustion turbine,0.118468,Gwa,
2015,Northwest Territories,Internal combustion turbine,0.118746,Gwa,
2016,Northwest Territories,Internal combustion turbine,0.118746,Gwa,
2017,Northwest Territories,Internal combustion turbine,0.118746,Gwa,
2006,Nunavut,Total thermal,0.054275,Gwa,
2007,Nunavut,Total thermal,0.054275,Gwa,
2008,Nunavut,Total thermal,0.054275,Gwa,
2009,Nunavut,Total thermal,0.054275,Gwa,
2010,Nunavut,Total thermal,0.054275,Gwa,
2011,Nunavut,Total thermal,0.054275,Gwa,
2012,Nunavut,Total thermal,,Gwa,
2013,Nunavut,Total thermal,0.054275,Gwa,
2014,Nunavut,Total thermal,0.054275,Gwa,
2015,Nunavut,Total thermal,0.074965,Gwa,
2016,Nunavut,Total thermal,0.078415,Gwa,
2017,Nunavut,Total thermal,0.078415,Gwa,
2006,Nunavut,Internal combustion turbine,0.054275,Gwa,
2007,Nunavut,Internal combustion turbine,0.054275,Gwa,
2008,Nunavut,Internal combustion turbine,0.054275,Gwa,
2009,Nunavut,Internal combustion turbine,0.054275,Gwa,
2010,Nunavut,Internal combustion turbine,0.054275,Gwa,
2011,Nunavut,Internal combustion turbine,0.054275,Gwa,
2012,Nunavut,Internal combustion turbine,,Gwa,
2013,Nunavut,Internal combustion turbine,0.054275,Gwa,
2014,Nunavut,Internal combustion turbine,0.054275,Gwa,
2015,Nunavut,Internal combustion turbine,0.074965,Gwa,
2016,Nunavut,Internal combustion turbine,0.078415,Gwa,
2017,Nunavut,Internal combustion turbine,0.078415,Gwa,
