Model,Scenario,Region,Variable,Unit,2015.0
MESSAGEix,none,BritishColumbia,elec_t_d,Gwa,5.203202399563953
MESSAGEix,none,BritishColumbia,elec_trp,Gwa,0.0231481483333333
MESSAGEix,none,BritishColumbia,eth_bio,Gwa,0.18302968336424436
MESSAGEix,none,BritishColumbia,eth_exp,Gwa,0.0305298593933417
MESSAGEix,none,BritishColumbia,eth_ic_trp,Gwa,0.2936646124265296
MESSAGEix,none,BritishColumbia,eth_imp,Gwa,0.14115233237264307
MESSAGEix,none,BritishColumbia,foil_exp,Gwa,0.44887089723181384
MESSAGEix,none,BritishColumbia,foil_fs,Gwa,0.30639238009489334
MESSAGEix,none,BritishColumbia,foil_i,Gwa,0.07112397935768326
MESSAGEix,none,BritishColumbia,foil_imp,Gwa,0.2530872730316005
MESSAGEix,none,BritishColumbia,foil_ppl,Gwa,0.0237105768242007
MESSAGEix,none,BritishColumbia,foil_rc,Gwa,0.006337617562805791
MESSAGEix,none,BritishColumbia,foil_t_d,Gwa,0.4816472769161584
MESSAGEix,none,BritishColumbia,foil_trp,Gwa,0.497938867504566
MESSAGEix,none,BritishColumbia,gas_cc,Gwa,0.136
MESSAGEix,none,BritishColumbia,gas_ct,Gwa,0.437
MESSAGEix,none,BritishColumbia,gas_exp,Gwa,3.649691509886731
MESSAGEix,none,BritishColumbia,gas_extr_1,Gwa,3.7269411971813255
MESSAGEix,none,BritishColumbia,gas_extr_2,Gwa,6.542629302799718
MESSAGEix,none,BritishColumbia,gas_extr_mpen,Gwa,10.26957049998101
MESSAGEix,none,BritishColumbia,gas_fs,Gwa,0.23925438513781588
MESSAGEix,none,BritishColumbia,gas_i,Gwa,0.8402684921009388
MESSAGEix,none,BritishColumbia,gas_imp,Gwa,1.221788585927504
MESSAGEix,none,BritishColumbia,gas_ppl,Gwa,0.377283105022831
MESSAGEix,none,BritishColumbia,gas_rc,Gwa,2.6110984358759857
MESSAGEix,none,BritishColumbia,gas_t_d,Gwa,3.2098730024685183
MESSAGEix,none,BritishColumbia,gas_trp,Gwa,0.0180745815753425
MESSAGEix,none,BritishColumbia,heat_i,Gwa,0.09989778553023274
MESSAGEix,none,BritishColumbia,heat_rc,Gwa,0.005181730521268929
MESSAGEix,none,BritishColumbia,heat_t_d,Gwa,0.10507951605150166
MESSAGEix,none,BritishColumbia,hydro_lc,Gwa,6.88859360730594
MESSAGEix,none,BritishColumbia,land_use_biomass,Gwa,1.4318563732824312
MESSAGEix,none,BritishColumbia,landfill_ele,Gwa,0.0037741931440973217
MESSAGEix,none,BritishColumbia,loil_exp,Gwa,4.345894498624096
MESSAGEix,none,BritishColumbia,loil_fs,Gwa,1.0020991234424568
MESSAGEix,none,BritishColumbia,loil_i,Gwa,0.2632911300312348
MESSAGEix,none,BritishColumbia,loil_imp,Gwa,0.7679505778956521
MESSAGEix,none,BritishColumbia,loil_ppl,Gwa,0.00667751760273966
MESSAGEix,none,BritishColumbia,loil_rc,Gwa,0.6414728152145815
MESSAGEix,none,BritishColumbia,loil_t_d,Gwa,6.007244522679862
MESSAGEix,none,BritishColumbia,loil_trp,Gwa,8.04350589894977
MESSAGEix,none,BritishColumbia,nuc_lc,Gwa,0.0
MESSAGEix,none,BritishColumbia,oil_exp,Gwa,10.849897574829164
MESSAGEix,none,BritishColumbia,oil_extr_1,Gwa,1.1341947052218735
MESSAGEix,none,BritishColumbia,oil_extr_2,Gwa,7.489965034484068
MESSAGEix,none,BritishColumbia,oil_extr_3,Gwa,2.261508028118563
MESSAGEix,none,BritishColumbia,oil_extr_4,Gwa,7.58147927422761
MESSAGEix,none,BritishColumbia,oil_extr_mpen,Gwa,18.467147042052147
MESSAGEix,none,BritishColumbia,oil_imp,Gwa,3.6298369198744265
MESSAGEix,none,BritishColumbia,ref_hil,Gwa,1.594976513912125
MESSAGEix,none,BritishColumbia,ref_lol,Gwa,10.115859024985495
MESSAGEix,none,BritishColumbia,solar_pv_ppl,Gwa,0.0
MESSAGEix,none,BritishColumbia,solar_rc,Gwa,0.006950494304971305
MESSAGEix,none,BritishColumbia,sp_el_I,Gwa,2.37950280949772
MESSAGEix,none,BritishColumbia,sp_el_RC,Gwa,3.79249115159817
MESSAGEix,none,BritishColumbia,wind_ppl,Gwa,0.137671232876712
MESSAGEix,none,Canada,bio_ppl,Gwa,1.42820385844749
MESSAGEix,none,Canada,biomass_i,Gwa,5.1062
MESSAGEix,none,Canada,biomass_nc,Gwa,3.9845
MESSAGEix,none,Canada,biomass_rc,Gwa,5.253884959566
MESSAGEix,none,Canada,biomass_t_d,Gwa,11.4952379102035
MESSAGEix,none,Canada,coal_exp,Gwa,24.171
MESSAGEix,none,Canada,coal_extr,Gwa,43.2671523242009
MESSAGEix,none,Canada,coal_extr_mpen,Gwa,43.2671523242009
MESSAGEix,none,Canada,coal_fs,Gwa,0.075565038812785
MESSAGEix,none,Canada,coal_i,Gwa,1.3651
MESSAGEix,none,Canada,coal_imp,Gwa,6.7778
MESSAGEix,none,Canada,coal_ppl,Gwa,7.10687424657534
MESSAGEix,none,Canada,coal_rc,Gwa,1.175628057900474
MESSAGEix,none,Canada,coal_t_d,Gwa,1.97346465154564
MESSAGEix,none,Canada,elec_exp,Gwa,6.66392694063927
MESSAGEix,none,Canada,elec_i,Gwa,0.9248
MESSAGEix,none,Canada,elec_imp,Gwa,0.995547945205479
MESSAGEix,none,Canada,elec_t_d,Gwa,55.8755858429436
MESSAGEix,none,Canada,elec_trp,Gwa,0.139840183767123
MESSAGEix,none,Canada,eth_bio,Gwa,1.4694
MESSAGEix,none,Canada,eth_exp,Gwa,0.2451
MESSAGEix,none,Canada,eth_ic_trp,Gwa,2.3576
MESSAGEix,none,Canada,eth_imp,Gwa,1.1332
MESSAGEix,none,Canada,foil_exp,Gwa,6.8141
MESSAGEix,none,Canada,foil_fs,Gwa,4.6512
MESSAGEix,none,Canada,foil_i,Gwa,1.0797
MESSAGEix,none,Canada,foil_imp,Gwa,3.842
MESSAGEix,none,Canada,foil_ppl,Gwa,0.359939222021664
MESSAGEix,none,Canada,foil_rc,Gwa,2.0628945166932846
MESSAGEix,none,Canada,foil_t_d,Gwa,7.31166295225295
MESSAGEix,none,Canada,foil_trp,Gwa,1.29223745326027
MESSAGEix,none,Canada,gas_cc,Gwa,4.742499
MESSAGEix,none,Canada,gas_ct,Gwa,11.464685
MESSAGEix,none,Canada,gas_exp,Gwa,72.9496576666666
MESSAGEix,none,Canada,gas_extr_1,Gwa,74.4937164529317
MESSAGEix,none,Canada,gas_extr_2,Gwa,130.773400049352
MESSAGEix,none,Canada,gas_extr_mpen,Gwa,205.267116502283
MESSAGEix,none,Canada,gas_fs,Gwa,4.78219198630137
MESSAGEix,none,Canada,gas_i,Gwa,16.7952
MESSAGEix,none,Canada,gas_imp,Gwa,24.4209843059361
MESSAGEix,none,Canada,gas_ppl,Gwa,7.54109581050228
MESSAGEix,none,Canada,gas_rc,Gwa,29.75828326615459
MESSAGEix,none,Canada,gas_t_d,Gwa,64.1586106796245
MESSAGEix,none,Canada,gas_trp,Gwa,0.124302385570776
MESSAGEix,none,Canada,heat_i,Gwa,0.802
MESSAGEix,none,Canada,heat_rc,Gwa,0.0416
MESSAGEix,none,Canada,heat_t_d,Gwa,0.8436
MESSAGEix,none,Canada,hydro_lc,Gwa,42.7073016894977
MESSAGEix,none,Canada,land_use_biomass,Gwa,11.4952379102035
MESSAGEix,none,Canada,landfill_ele,Gwa,0.0303
MESSAGEix,none,Canada,loil_exp,Gwa,65.973
MESSAGEix,none,Canada,loil_fs,Gwa,15.2124
MESSAGEix,none,Canada,loil_i,Gwa,3.9969
MESSAGEix,none,Canada,loil_imp,Gwa,11.6579
MESSAGEix,none,Canada,loil_ppl,Gwa,0.101368284238151
MESSAGEix,none,Canada,loil_rc,Gwa,9.7379
MESSAGEix,none,Canada,loil_t_d,Gwa,91.1931808331361
MESSAGEix,none,Canada,loil_trp,Gwa,69.9166038064155
MESSAGEix,none,Canada,nuc_lc,Gwa,10.9226068493151
MESSAGEix,none,Canada,oil_exp,Gwa,164.707241036529
MESSAGEix,none,Canada,oil_extr_1,Gwa,17.2176814948666
MESSAGEix,none,Canada,oil_extr_2,Gwa,113.701670249119
MESSAGEix,none,Canada,oil_extr_3,Gwa,34.3308999301069
MESSAGEix,none,Canada,oil_extr_4,Gwa,115.090905293944
MESSAGEix,none,Canada,oil_extr_mpen,Gwa,280.341156968037
MESSAGEix,none,Canada,oil_imp,Gwa,55.1028634474886
MESSAGEix,none,Canada,ref_hil,Gwa,12.8048
MESSAGEix,none,Canada,ref_lol,Gwa,81.2122
MESSAGEix,none,Canada,solar_rc,Gwa,0.0558
MESSAGEix,none,Canada,sp_el_I,Gwa,26.11111132
MESSAGEix,none,Canada,sp_el_RC,Gwa,33.7553909346804
MESSAGEix,none,Canada,wind_ppl,Gwa,3.23217333333333
MESSAGEix,none,Manitoba,bio_ppl,Gwa,0.0114155251141553
MESSAGEix,none,Manitoba,biomass_i,Gwa,0.040813469304909436
MESSAGEix,none,Manitoba,biomass_nc,Gwa,0.031847806283618274
MESSAGEix,none,Manitoba,biomass_rc,Gwa,0.08555783709787818
MESSAGEix,none,Manitoba,biomass_t_d,Gwa,0.09188056472537734
MESSAGEix,none,Manitoba,coal_exp,Gwa,0.04127101462365716
MESSAGEix,none,Manitoba,coal_extr,Gwa,0.07387693005238084
MESSAGEix,none,Manitoba,coal_extr_mpen,Gwa,0.07387693005238084
MESSAGEix,none,Manitoba,coal_fs,Gwa,0.00012902427793139179
MESSAGEix,none,Manitoba,coal_i,Gwa,0.0023308535874707044
MESSAGEix,none,Manitoba,coal_imp,Gwa,0.011572822097398681
MESSAGEix,none,Manitoba,coal_ppl,Gwa,0.012134703196347
MESSAGEix,none,Manitoba,coal_rc,Gwa,0.019012852688417372
MESSAGEix,none,Manitoba,coal_t_d,Gwa,0.0033696118693149063
MESSAGEix,none,Manitoba,elec_exp,Gwa,1.03961187214612
MESSAGEix,none,Manitoba,elec_i,Gwa,0.14659461115365885
MESSAGEix,none,Manitoba,elec_imp,Gwa,0.0125570776255708
MESSAGEix,none,Manitoba,elec_t_d,Gwa,8.857114813612892
MESSAGEix,none,Manitoba,elec_trp,Gwa,0.0
MESSAGEix,none,Manitoba,eth_bio,Gwa,0.04822102982953081
MESSAGEix,none,Manitoba,eth_exp,Gwa,0.008043401668176126
MESSAGEix,none,Manitoba,eth_ic_trp,Gwa,0.07736892604199118
