,node_loc,technology,year_vtg,value,unit
100,NewfoundlandandLabrador,bio_ppl,2015,0.015,GW
101,NewfoundlandandLabrador,biomass_t_d,2015,0.019756911160169505,GW
102,NewfoundlandandLabrador,coal_ppl,2015,0.0,GW
103,NewfoundlandandLabrador,coal_t_d,2015,0.0,GW
104,NewfoundlandandLabrador,elec_exp,2015,0.0,GW
105,NewfoundlandandLabrador,elec_t_d,2015,1.7586213553862764,GW
106,NewfoundlandandLabrador,foil_ppl,2015,0.511201395359,GW
107,NewfoundlandandLabrador,foil_t_d,2015,0.4007171954961735,GW
108,NewfoundlandandLabrador,gas_cc,2015,0.0,GW
109,NewfoundlandandLabrador,gas_ct,2015,0.043,GW
110,NewfoundlandandLabrador,gas_exp,2015,0.10859039178201584,GW
111,NewfoundlandandLabrador,gas_ppl,2015,0.103,GW
112,NewfoundlandandLabrador,gas_t_d,2015,0.09695272673808379,GW
113,NewfoundlandandLabrador,heat_t_d,2015,0.0411638380705857,GW
114,NewfoundlandandLabrador,hydro_lc,2015,6.793681,GW
115,NewfoundlandandLabrador,loil_ppl,2015,0.225788604641,GW
116,NewfoundlandandLabrador,loil_t_d,2015,3.49883255962887,GW
117,NewfoundlandandLabrador,nuc_lc,2015,0.0,GW
118,NewfoundlandandLabrador,solar_pv_ppl,2015,1.5e-05,GW
119,NewfoundlandandLabrador,wind_ppl,2015,0.0543,GW
120,NorthwestTerritories,bio_ppl,2015,0.0,GW
121,NorthwestTerritories,biomass_t_d,2015,0.0,GW
122,NorthwestTerritories,coal_ppl,2015,0.0,GW
123,NorthwestTerritories,coal_t_d,2015,0.0,GW
124,NorthwestTerritories,elec_exp,2015,0.0,GW
125,NorthwestTerritories,elec_t_d,2015,0.014361627046785185,GW
126,NorthwestTerritories,foil_ppl,2015,0.0652016054,GW
127,NorthwestTerritories,foil_t_d,2015,0.0511098066142557,GW
128,NorthwestTerritories,gas_cc,2015,0.0,GW
129,NorthwestTerritories,gas_ct,2015,0.0195,GW
130,NorthwestTerritories,gas_exp,2015,0.028676297635639135,GW
131,NorthwestTerritories,gas_ppl,2015,0.0272,GW
132,NorthwestTerritories,gas_t_d,2015,0.02560305016772698,GW
133,NorthwestTerritories,heat_t_d,2015,0.00033616087304601066,GW
134,NorthwestTerritories,hydro_lc,2015,0.05548,GW
135,NorthwestTerritories,loil_ppl,2015,0.0287983946,GW
136,NorthwestTerritories,loil_t_d,2015,0.4462614969064896,GW
137,NorthwestTerritories,nuc_lc,2015,0.0,GW
138,NorthwestTerritories,solar_pv_ppl,2015,0.000815,GW
139,NorthwestTerritories,wind_ppl,2015,0.0092,GW
140,NovaScotia,bio_ppl,2015,0.11256,GW
141,NovaScotia,biomass_t_d,2015,0.14825586134591198,GW
142,NovaScotia,coal_ppl,2015,1.252,GW
143,NovaScotia,coal_t_d,2015,0.07483766445434879,GW
144,NovaScotia,elec_exp,2015,0.0,GW
145,NovaScotia,elec_t_d,2015,0.10048997151337434,GW
146,NovaScotia,foil_ppl,2015,0.15419486043,GW
147,NovaScotia,foil_t_d,2015,0.12086925542924513,GW
148,NovaScotia,gas_cc,2015,0.0,GW
149,NovaScotia,gas_ct,2015,0.098,GW
150,NovaScotia,gas_exp,2015,0.5081714052703831,GW
151,NovaScotia,gas_ppl,2015,0.48201,GW
152,NovaScotia,gas_t_d,2015,0.4537105224759589,GW
153,NovaScotia,heat_t_d,2015,0.002352156649539678,GW
154,NovaScotia,hydro_lc,2015,0.3882,GW
155,NovaScotia,loil_ppl,2015,0.06810513957,GW
156,NovaScotia,loil_t_d,2015,1.0553609655565175,GW
157,NovaScotia,nuc_lc,2015,0.0,GW
158,NovaScotia,solar_pv_ppl,2015,0.000365,GW
159,NovaScotia,wind_ppl,2015,0.44397,GW
160,Nunavut,bio_ppl,2015,0.0,GW
161,Nunavut,biomass_t_d,2015,0.0,GW
162,Nunavut,coal_ppl,2015,0.0,GW
163,Nunavut,coal_t_d,2015,0.0,GW
164,Nunavut,elec_exp,2015,0.0,GW
165,Nunavut,elec_t_d,2015,0.0,GW
